Player,Left Team,Joined Team
Fernando Gamboa,Boca Juniors,Real Oviedo
Lyuboslav Penev,Atlético Madrid,SD Compostela
Johan de Kock,Roda JC,FC Schalke 04
Michael Johansen,FC Copenhagen,Bolton
Richard Hall,Southampton,West Ham
Dean Saunders,Galatasaray,Nottm Forest
Yuriy Nikiforov,Spartak Moscow,Sporting Gijón
Juan Carlos Aguilera,CD Tenerife,Atlético Madrid
Dani García,Real Zaragoza,Real Madrid
Robert Prosinecki,Barcelona,Sevilla FC
Florin Răducioiu,Espanyol,West Ham
Noureddine Naybet,Sporting CP,Dep. La Coruña
Paul Gerrard,Oldham Athletic,Everton
Georgi Donkov,CSKA Sofia,VfL Bochum
Cristian Traverso,U. de Chile,Boca Juniors
Paul Dickov,Arsenal,Man City
Alex Rae,Millwall,Sunderland
Bryan Hughes,Wrexham,Birmingham
John Ebbrell,Everton,Sheff Utd
Vasilios Tsiartas,AEK Athens,Sevilla FC
Secretário,FC Porto,Real Madrid
Martín Hidalgo,Sport. Cristal,UD Las Palmas
Ian Thomas-Moore,Tranmere Rovers,Nottm Forest
Demis Nikolaidis,Apollon Athens,AEK Athens
Iwan Roberts,Leicester,Wolves
Robert Molenaar,FC Volendam,Leeds
Neil Shipperley,Southampton,Crystal Palace
Paulo Bento,Benfica,Real Oviedo
Grégory Coupet,Saint-Étienne,Olympique Lyon
Kasey Keller,Millwall,Leicester
Zisis Vryzas,Skoda Xanthi,PAOK Salonika
Markus Münch,B. Leverkusen,Bayern Munich
Niall Quinn,Man City,Sunderland
Mark Fish,Orlando Pirates,Lazio
Stefan Kuntz,Besiktas,Arm. Bielefeld
Claus Thomsen,Ipswich,Everton
Thomas Hengen,1.FC K'lautern,Karlsruher SC
Diego Cagna,Independiente,Boca Juniors
Mustafa Dogan,KFC Uerdingen,Fenerbahce
Alin Stoica,Steaua Bucharest,RSC Anderlecht
Silvio Carrario,Racing Club,Boca Juniors
Cristian Colusso,Rosario Central,Sevilla FC
Oleksandr Yevtushok,Dnipro,Coventry
Muzzy Izzet,Chelsea,Leicester
Ian Marshall,Ipswich,Leicester
Steve Guppy,Port Vale,Leicester
Régis Genaux,Coventry,Udinese
Tony Cottee,West Ham,Selangor FC
Roy Lassiter,Tampa Bay,Genoa
Jens Dowe,1860 Munich,Hamburger SV
Nicky Forster,Brentford,Birmingham
Régis Genaux,Standard Liège,Coventry
Kostadin Vidolov,CSKA Sofia,Bursaspor
Cyril Domoraud,AS Red Star 93,G. Bordeaux
Pawel Wojtala,Widzew Lodz,Hamburger SV
Markus Schopp,Sturm Graz,Hamburger SV
Zvonimir Soldo,Croatia Zagreb,VfB Stuttgart
Sébastien Fournier,FC Sion,VfB Stuttgart
Franz Wohlfahrt,Austria Vienna,VfB Stuttgart
Jens Todt,SC Freiburg,Werder Bremen
Amaral,Palmeiras,AC Parma
Iulian Filipescu,Steaua Bucharest,Galatasaray
René Wagner,Boby Brno,Rapid Vienna
Juan Pablo Sorín,Juventus,River Plate
Yordan Lechkov,Hamburger SV,Marseille
Dejan Petkovic,Real Madrid,Racing
Pascal Nouma,Paris SG,R. Strasbourg
