Player,Left Team,Joined Team
Ivan Oblyakov,Ufa,CSKA Moscow
Sory Kaba,Elche CF,Dijon
Iván Alejo,SD Eibar,Getafe
Carlos Vinícius,Real SC,Napoli
Marcos Guilherme,Athletico-PR,Al-Wehda
Daouda Peeters,Sampdoria U19,Juventus U23
Ribamar,Athletico-PR,Pyramids FC
Claudio Spinelli,Tigre,Genoa
Louis Schaub,Rapid Vienna,1.FC Köln
Javier Correa,CA Colon,Santos Laguna
Florian Kainz,Werder Bremen,1.FC Köln
Gaëtan Laborde,G. Bordeaux,Montpellier
Lucas Evangelista,Udinese Calcio,FC Nantes
Emmanuel Gigliotti,Independiente,Toluca
David Soria,Sevilla FC,Getafe
Marcelo Grohe,Grêmio,Al-Ittihad
Paulo Díaz,San Lorenzo,Al-Ahli
Peter Zulj,Sturm Graz,RSC Anderlecht
Celso Borges,Dep. La Coruña,Göztepe
Konstantinos Laifis,Olympiacos,Standard Liège
Pol Fernández,Godoy Cruz,Racing Club
Håvard Nordtveit,TSG Hoffenheim,Fulham
Jonathan Cafu,G. Bordeaux,Red Star
Sébastien Corchia,Sevilla FC,Benfica
Alfa Semedo,Benfica,Espanyol
Paolo Hurtado,Vit. Guimarães,Konyaspor
Juanfran Moreno,Dep. La Coruña,CD Leganés
Joel Obi,Chievo Verona,Alanyaspor
Ezequiel Schelotto,Brighton,Chievo Verona
Ivan Strinic,Sampdoria,AC Milan
Marwin Hitz,FC Augsburg,Bor. Dortmund
Mason Mount,Chelsea U23,Derby
Marc Oliver Kempf,SC Freiburg,VfB Stuttgart
Domenico Criscito,Zenit S-Pb,Genoa
Lisandro López,Benfica,Genoa
Gary Madine,Cardiff,Sheff Utd
Yanic Wildschut,Norwich,Bolton
Ryan Fredericks,Fulham,West Ham
Kévin Théophile-Catherine,Saint-Étienne,Dinamo Zagreb
Szymon Żurkowski,Fiorentina,Górnik Zabrze
Martin Ødegaard,Real Madrid,Vitesse
Adama Traoré,Monaco,Cercle Brugge
Valentín Vada,G. Bordeaux,Saint-Étienne
Dani García,SD Eibar,Athletic
Rajiv van La Parra,Huddersfield,Middlesbrough
Andreas Granqvist,Krasnodar,Helsingborgs IF
Sam Byram,West Ham,Nottm Forest
Stefan Johansen,Fulham,West Brom
Valentin Eysseric,Fiorentina,FC Nantes
Jason Puncheon,Crystal Palace,Huddersfield
Jordan Ferri,Olympique Lyon,Nîmes Olympique
Claudio Spinelli,Genoa,Crotone
Keisuke Honda,Pachuca,Melbourne
Juan Iturbe,Club Tijuana,UNAM Pumas
Cheick Diabaté,Osmanlispor,Emirates Club
Aboubakar Kamara,Fulham,Y. Malatyaspor
Fernando Torres,Atlético Madrid,Sagan Tosu
Guilherme,Benevento,Alvarenga
Sam Baldock,Brighton,Reading
Leonardo,Al-Ahli,Al-Wahda
Toma Bašić,Hajduk Split,G. Bordeaux
Idrissa Doumbia,Akhmat Grozny,Sporting CP
Dávid Hancko,MSK Zilina,Fiorentina
Héber,HNK Rijeka,New York City
Ezequiel Cerutti,Al-Hilal,Independiente
Lyanco,Torino,Bologna
El Arbi Hillel Soudani,Dinamo Zagreb,Nottm Forest
Nahuel Bustos,CA Talleres,Pachuca
Arkadiusz Reca,Wisla Plock,Atalanta BC
Federico Ceccherini,Crotone,Fiorentina
Milos Degenek,Red Star,Al-Hilal
Dan Burn,Wigan,Brighton
Diéter Villalpando,Necaxa,Chivas
Lucas Torró,Real Madrid,E. Frankfurt
Jean-Paul Boëtius,Feyenoord,1.FSV Mainz 05
Jorman Campuzano,Atl. Nacional,Boca Juniors
Felipe Aguilar,Atl. Nacional,Santos
Christian Nørgaard,Bröndby IF,Fiorentina
Marcos Antônio,Estoril Praia,Shakhtar D.
Gabriel Fernández,Peñarol,Celta de Vigo
Mayke,Cruzeiro,Palmeiras
Léo Jabá,Akhmat Grozny,PAOK Salonika
Cristian Calderón,Atlas,Necaxa
Sebastian Walukiewicz,Pogon Szczecin,Cagliari Calcio
Thomas Foket,KAA Gent,Stade Reims
Yoshimar Yotún,Orlando,CD Cruz Azul
Stephen Eustaquio,Chaves,CD Cruz Azul
Roberto Alvarado,Necaxa,CD Cruz Azul
Merih Demiral,Sporting CP,Alanyaspor
Steven Skrzybski,Union Berlin,FC Schalke 04
Lucas Olaza,CA Talleres,Boca Juniors
Gen Shoji,Kashima Antlers,Toulouse
Guilherme,Dep. La Coruña,Olympiacos
Hyun-jun Suk,Troyes,Stade Reims
Siebe Schrijvers,KRC Genk,Club Brugge
Mathieu Dossevi,FC Metz,Toulouse
Serdar Gürler,Osmanlispor,SD Huesca
Bjørn Johnsen,ADO Den Haag,AZ Alkmaar
Juan Garro,Godoy Cruz,Huracán
Ragnar Klavan,Liverpool,Cagliari Calcio
Lei Wu,SH SIPG,Espanyol
João Novais,Rio Ave,SC Braga
Hugo Nervo,Huracán,Santos Laguna
Diego Rolán,Dep. La Coruña,CD Leganés
Derrick Luckassen,PSV Eindhoven,Hertha BSC
Lucas Olaza,Boca Juniors,Celta de Vigo
Serdar Aziz,Galatasaray,Fenerbahce
Joel Robles,Everton,Real Betis
Daniele Verde,AS Roma,Real Valladolid
Uche Agbo,Standard Liège,Rayo Vallecano
Andrija Balic,Udinese Calcio,Fortuna Sittard
John Obi Mikel,TJ Teda,Middlesbrough
Samuel Grandsir,Monaco,R. Strasbourg
Nolan Roux,FC Metz,Guingamp
Omar Abdulrahman,Al-Ain FC,Al-Hilal
Walter Bou,Boca Juniors,EC Vitória
André André,FC Porto,Vit. Guimarães
Chris Martin,Derby,Hull City
Samu Saiz,Leeds,Getafe
Francesco Cassata,Sassuolo,Frosinone
Seydou Doumbia,Sporting CP,Girona
Sone Aluko,Reading,BJ Renhe
Walter Bou,Boca Juniors,La Calera
Balázs Dzsudzsák,Al-Wahda,Ittihad Kalba
Giovanni Sio,Montpellier,Ittihad Kalba
Danny Batth,Wolves,Stoke City
Leandro Bacuna,Reading,Cardiff
Octavio Rivero,Colo-Colo,Atlas
Niklas Hauptmann,Dynamo Dresden,1.FC Köln
Jack Marriott,Peterborough,Derby
Connor Goldson,Brighton,Rangers
Will Grigg,Wigan,Sunderland
Barry Douglas,Wolves,Leeds
Bersant Celina,Man City,Swansea
Fernando Karanga,CSKA-Sofia,HN Jianye
William Troost-Ekong,Bursaspor,Udinese Calcio
Mattia Sprocati,Salernitana,Lazio
Lucas Rodríguez,Estudiantes LP,D.C. United
Ognjen Vranjes,AEK Athens,RSC Anderlecht
Peter Olayinka,KAA Gent,Slavia Prague
Cristián Borja,Toluca,Sporting CP
Dušan Vlahović,Partizan,Fiorentina
Percy Tau,Sundowns,Brighton
Claudio Baeza,Colo-Colo,Al-Ahli
Jaime Ayoví,BJ Renhe,Shabab Al-Ahli
Florian Jozefzoon,Brentford,Derby
Bruno Méndez,Wanderers,Corinthians
John McGinn,Hibernian FC,Aston Villa
Tiago Casasola,Salernitana,Lazio
Ola Kamara,Los Angeles,SZ FC
Yeferson Soteldo,Huachipato,Santos
Gonçalo Paciência,FC Porto,E. Frankfurt
Elias Cobbaut,KV Mechelen,RSC Anderlecht
Felix Beijmo,Djurgården,Werder Bremen
Igor Plastun,Ludogorets,KAA Gent
Giorgi Kvilitaia,Rapid Vienna,KAA Gent
André Hahn,Hamburger SV,FC Augsburg
Fredrik Jensen,Twente FC,FC Augsburg
Souleyman Doumbia,Grasshoppers,Stade Rennais
Igor Rabello,Botafogo,Atlético-MG
Jamiro Monteiro,Heracles Almelo,FC Metz
Sergi Guardiola,Córdoba CF,Real Valladolid
Ørjan Nyland,FC Ingolstadt,Aston Villa
Youcef Atal,KV Kortrijk,OGC Nice
Lucas Ribeiro,EC Vitória,TSG Hoffenheim
Piris da Motta,San Lorenzo,Flamengo
Ander Capa,SD Eibar,Athletic
Stefan Mitrovic,KAA Gent,R. Strasbourg
Paulinho,Portimonense,FC Porto
Federico Barba,Sporting Gijón,Chievo Verona
Zé Rafael,EC Bahia,Palmeiras
Patrick Twumasi,FC Astana,Alavés
Denis Bouanga,FC Lorient,Nîmes Olympique
Joseph Paintsil,Tema Youth,KRC Genk
Jan Mlakar,NK Maribor,Brighton
Karlo Letica,Hajduk Split,Club Brugge
Gabriele Zappa,Inter,Pescara
Samuel Bastien,Chievo Verona,Standard Liège
Luca Antei,Sassuolo,Benevento
Enric Gallego,Extremadura,SD Huesca
Enrico Brignola,Benevento,Sassuolo
Abdulaziz Al-Bishi,Al-Faisaly,Al-Ittihad
Mattia Zennaro,Venezia U19,Genoa U19
Jonathan Panzo,Chelsea U18,Monaco B
Anselmo,Internacional,Al-Wehda
Frederik Rönnow,Bröndby IF,E. Frankfurt
Ben Foster,West Brom,Watford
Ryan Thomas,PEC Zwolle,PSV Eindhoven
Berke Özer,Altinordu,Fenerbahce
Diego Farias,Cagliari Calcio,FC Empoli
Uros Djurdjevic,Olympiacos,Sporting Gijón
Martin Harnik,Hannover 96,Werder Bremen
Oliver Norwood,Brighton,Sheff Utd
Saidy Janko,Saint-Étienne,FC Porto
Mauro Arambarri,Boston River,Getafe
Juan Otero,Estudiantes LP,Amiens SC
Marvin Ducksch,FC St. Pauli,F. Düsseldorf
Lukas Klünter,1.FC Köln,Hertha BSC
Pablo de Blasis,1.FSV Mainz 05,SD Eibar
Dmitriy Stotskiy,Ufa,Krasnodar
Jeff Reine-Adélaïde,Arsenal U23,Angers SCO
Joel Campbell,Arsenal,Frosinone
Andreas Cornelius,Atalanta BC,G. Bordeaux
José Pozo,UD Almería,Rayo Vallecano
Fernando Uribe,Flamengo,Santos
Marcello Trotta,Sassuolo,Frosinone
Isaac Kiese Thelin,RSC Anderlecht,B. Leverkusen
Ayaz Guliyev,Rostov,Spartak Moscow
Lionel Carole,Galatasaray,R. Strasbourg
Marko Marin,Olympiacos,Red Star
Martín Cáceres,Lazio,Juventus
Johannes Geis,FC Schalke 04,1.FC Köln
Matheus Pereira,Sporting CP,1.FC Nuremberg
Carlitos,Wisla Kraków,Legia Warszawa
Marcelo,Sporting CP,Chicago
Dodi Lukébakio,Watford,F. Düsseldorf
Matt Miazga,Chelsea,FC Nantes
Valter Birsa,Chievo Verona,Cagliari Calcio
Federico Viviani,SPAL,Frosinone
Walter Montoya,CD Cruz Azul,Grêmio
Pedro Henrique,PAOK Salonika,FC Astana
Chico Geraldes,Sporting CP,E. Frankfurt
Justin Hoogma,TSG Hoffenheim,FC St. Pauli
Andy King,Leicester,Derby
Scott Malone,Huddersfield,Derby
Nicolai Müller,Hamburger SV,E. Frankfurt
Jeffrey Bruma,VfL Wolfsburg,FC Schalke 04
Antonio Milic,KV Oostende,RSC Anderlecht
Scott Arfield,Burnley,Rangers
Adama Niane,Troyes,R Charleroi SC
Riechedly Bazoer,VfL Wolfsburg,FC Utrecht
Mateo Cassierra,Ajax,FC Groningen
Jorge,Monaco,Santos
Giuseppe Pezzella,Udinese Calcio,Genoa
Rômulo,Hellas Verona,Genoa
Marcelo,Rio Ave,Sporting CP
Vitor Bueno,Santos,Dynamo Kyiv
Kieran Dowell,Everton,Sheff Utd
Jeremy Toljan,Bor. Dortmund,Celtic
Nick Viergever,Ajax,PSV Eindhoven
Rômulo,Genoa,Lazio
Kiko Casilla,Real Madrid,Leeds
Renato Tapia,Feyenoord,Willem II
Alexander Isak,Bor. Dortmund,Willem II
Antoine Bernede,Paris SG,RB Salzburg
Raphael Holzhauser,Austria Vienna,Grasshoppers
Gabriel,Atlético-MG,Botafogo
Gabi,Atlético Madrid,Al-Sadd SC
Gil Dias,Monaco,Olympiacos
Gil Dias,Monaco,Nottm Forest
Saidy Janko,FC Porto,Nottm Forest
Riechedly Bazoer,VfL Wolfsburg,FC Porto
Dimitri Oberlin,FC Basel,FC Empoli
Valerio Verre,Sampdoria,Perugia
Bruno César,Sporting CP,Vasco da Gama
Yann Bodiger,Toulouse,Córdoba CF
Edgar Ié,LOSC Lille,FC Nantes
Claudio Spinelli,Genoa,Argentinos Jrs.
Andy Yiadom,Barnsley FC,Reading
Josh Onomah,Tottenham,Sheff Wed
Michael Hector,Chelsea,Sheff Wed
Ivelin Popov,Spartak Moscow,Rostov
Roman Eremenko,Spartak Moscow,Rostov
Yevgen Khacheridi,Dynamo Kyiv,PAOK Salonika
Nikolaos Karelis,KRC Genk,PAOK Salonika
Diego Reyes,Fenerbahce,CD Leganés
Jarlan Barrera,Tigres UANL,Rosario Central
Stéphane Bahoken,R. Strasbourg,Angers SCO
Fousseni Diabaté,Leicester,Sivasspor
Leonardo Jara,Boca Juniors,D.C. United
Bartosz Kapustka,Leicester,OH Leuven
Cameron Borthwick-Jackson,Man Utd,Scunthorpe Utd.
Vincent Thill,FC Metz,Pau FC
Lucca,Corinthians,Al-Rayyan SC
Edwin Cardona,Monterrey,Pachuca
Andreu Fontàs,Celta de Vigo,Kansas City
Orestis Karnezis,Udinese Calcio,Napoli
Lucas Mendes,Al-Duhail SC,Al-Gharafa SC
Paolo Guerrero,Flamengo,Internacional
Jarlan Barrera,Junior FC,Tigres UANL
Ignacio Malcorra,Club Tijuana,UNAM Pumas
Karim El Ahmadi,Feyenoord,Al-Ittihad
Edoardo Goldaniga,Sassuolo,Frosinone
Lucas Janson,Tigre,Toronto
Marco Fabián,E. Frankfurt,Philadelphia
Tudor Băluţă,FC Viitorul,Brighton
Maurides,CSKA-Sofia,CC Yatai
Ezri Konsa,Charlton,Brentford
Michael Olunga,GZ Hengfeng,Kashiwa Reysol
Josh Windass,Rangers,Wigan
Arnaut Danjuma,NEC Nijmegen,Club Brugge
Hördur Magnússon,Bristol City,CSKA Moscow
Bryan Acosta,CD Tenerife,Dallas
Adrian Mierzejewski,CC Yatai,CQ Dangdai Lif.
George Pușcaș,Inter,US Palermo
Isael,Kairat Almaty,Ferencváros
Maicón,Antalyaspor,Atlético-MG
Fernando Uribe,Toluca,Flamengo
Vitaliy Denisov,Loko Moscow,KS Samara
Ismael Sosa,Tigres UANL,Pachuca
Rodolfo Cota,Pachuca,León
Fedor Kudryashov,Rubin Kazan,Basaksehir
Soslan Dzhanaev,Rubin Kazan,Miedz Legnica
Harun Tekin,Bursaspor,Fenerbahce
Mauricio Martínez,Rosario Central,Racing Club
Aziz Behich,Bursaspor,PSV Eindhoven
Brahian Alemán,Gimnasia,Al-Ettifaq
Tolga Ciğerci,Galatasaray,Fenerbahce
Hugo Vieira,Yokohama F. M.,Sivasspor
Agustín Rossi,Boca Juniors,Antofagasta
Robert Mudrazija,NK Osijek,FC Copenhagen
Matías Suárez,Belgrano,River Plate
Yacine Bammou,FC Nantes,SM Caen
Hussein El Shahat,El Makasa,Al-Ain FC
Alexandru Băluță,CS U Craiova,Slavia Prague
Iyayi Atiemwen,HNK Gorica,Dinamo Zagreb
Eric Traoré,El Makasa,Pyramids FC
Ahmed El Shenawy,Zamalek,Pyramids FC
Michael Frey,FC Zürich,Fenerbahce
Gang Wang,BJ Renhe,BJ Guoan
Jesús Molina,Monterrey,Chivas
Zheng Zou,GZ Evergrande,GZ R&F
Walter González,Olimpia,Pachuca
Xuri Zhao,TJ Tianhai,DL Yifang
Guicheng Yang,SJZ EB. Res.,SZ FC Res.
Xiaotian Shi,Liaoning FC,CC Yatai
Alejandro Silva,Montreal,Olimpia
Florent Mollet,FC Metz,Montpellier
Wentao Zhang,SH Shenxin,HN Jianye
Shihao Wei,BJ Guoan,GZ Evergrande
Zhunyi Gao,HB CFFC,GZ Evergrande
Yiming Liu,TJ Tianhai,GZ Evergrande
Xiuwei Zhang,TJ Tianhai,GZ Evergrande
Chao He,CC Yatai,GZ Evergrande
Hong Gui,HB CFFC,GZ R&F
Arthur Caíke,Al-Shabab,EC Bahia
Fernandão,Fenerbahce,Al-Wehda
Alfa Semedo,Moreirense,Benfica
Paulinho,FC Porto,Portimonense
Roberto Massimo,Arm. Bielefeld,VfB Stuttgart
Jandrei,Chapecoense,Genoa
Philippe Sandler,PEC Zwolle,Man City
Kristian Pedersen,Union Berlin,Birmingham
Petar Micin,FK Cukaricki,Udinese Calcio
Lovro Majer,NK Lokomotiva,Dinamo Zagreb
Nicola Leali,Juventus,Perugia
Sikou Niakaté,Valenciennes FC,Guingamp
Dominick Drexler,Holstein Kiel,FC Midtjylland
Felipe Avenatti,Luqueño,Bologna
Zeki Çelik,Istanbulspor,LOSC Lille
Vidar Örn Kjartansson,M. Tel Aviv,Rostov
Karol Świderski,Jagiellonia,PAOK Salonika
Juninho Bacuna,FC Groningen,Huddersfield
Jhon Lucumí,Deportivo Cali,KRC Genk
Ivan Fiolic,Dinamo Zagreb,KRC Genk
Vasyl Kravets,CD Lugo,CD Leganés
Qiang Li,YB Funde,SZ FC
Andrés Tello,Juventus,Benevento
Richairo Zivkovic,KV Oostende,CC Yatai
Constantin Budescu,FCSB,Al-Shabab
Haris Hajradinovic,NK Osijek,Kasimpasa
Kevin Boli,CFR Cluj,GZ Hengfeng
Arda Güler,G.Birligi Yth,Fenerbahce Yth.
Odysseas Vlachodimos,Panathinaikos,Benfica
Lucas Galvão,Rapid Vienna,FC Ingolstadt
Júnior Sornoza,Fluminense,Corinthians
Sandro,Benevento,Genoa
Andreas Weimann,Derby,Bristol City
Thomas Didillon,FC Metz,RSC Anderlecht
Vadis Odjidja-Ofoe,Olympiacos,KAA Gent
Marcelo Díaz,UNAM Pumas,Racing Club
Philipp Lienhart,Real Madrid,SC Freiburg
Junior Sambia,Chamois Niort,Montpellier
Julian Jeanvier,Stade Reims,Brentford
Milos Jojic,1.FC Köln,Basaksehir
Ritsu Doan,Gamba Osaka,FC Groningen
Jack Hunt,Sheff Wed,Bristol City
Emiliano Buendía,Getafe,Norwich
Fayçal Fajr,Getafe,SM Caen
Clinton Mata,R Charleroi SC,Club Brugge
Léandre Tawamba,Partizan,Al-Taawoun
Renzo Saravia,Belgrano,Racing Club
Adrian Mierzejewski,Sydney FC,CC Yatai
Simon Gustafson,Feyenoord,FC Utrecht
Federico Mattiello,Atalanta BC,Bologna
Vincent Pajot,Saint-Étienne,Angers SCO
Federico Mancuello,Cruzeiro,Toluca
Zoran Nizic,Hajduk Split,Akhmat Grozny
Pedro Rocha,Spartak Moscow,Cruzeiro
Justin Meram,Orlando,Columbus Crew
Deni Alar,Sturm Graz,Rapid Vienna
Vicente Gómez,UD Las Palmas,Dep. La Coruña
Duje Cop,Standard Liège,Real Valladolid
Sandro,Genoa,Udinese Calcio
Roderick Miranda,Wolves,Olympiacos
Nenad Krsticic,Red Star,AEK Athens
Tana,UD Las Palmas,ZJ Greentown
Jonathan Menéndez,Independiente,Al-Rayyan SC
Carlos Mané,Sporting CP,Union Berlin
Nicolas Isimat-Mirin,PSV Eindhoven,Besiktas
Stefanos Kapino,Nottm Forest,Werder Bremen
Darwin Machís,Udinese Calcio,Cádiz CF
Marco Tumminello,Atalanta BC,Lecce
Robert Bauer,Werder Bremen,1.FC Nuremberg
Nicolai Müller,E. Frankfurt,Hannover 96
Franko Andrijasevic,KAA Gent,Waasland-Beveren
Braian Romero,Independiente,Athletico-PR
Ezequiel Ponce,AS Roma,AEK Athens
Alen Halilovic,Hamburger SV,AC Milan
Marcin Kaminski,VfB Stuttgart,F. Düsseldorf
Jimmy Briand,Guingamp,G. Bordeaux
Sergi Palencia,Barcelona,G. Bordeaux
Léo Lacroix,Saint-Étienne,Hamburger SV
Knowledge Musona,KV Oostende,RSC Anderlecht
Kevin Möhwald,1.FC Nuremberg,Werder Bremen
Artur Yusupov,Rostov,Dinamo Moscow
Joãozinho,Krasnodar,Dinamo Moscow
Jon Flanagan,Liverpool,Rangers
Mykola Morozyuk,Dynamo Kyiv,C. Rizespor
Mustafa Saymak,PEC Zwolle,C. Rizespor
Amato Ciciretti,Napoli,Parma
Alessandro Bastoni,Inter,Parma
Jack Rodwell,Sunderland,Blackburn
Andreas Bjelland,Brentford,FC Copenhagen
Timo Letschert,Sassuolo,FC Utrecht
Cuco Martina,Everton,Feyenoord
Jakob Johansson,AEK Athens,Stade Rennais
Franco Di Santo,FC Schalke 04,Rayo Vallecano
Vurnon Anita,Leeds,Willem II
Darwin Machís,Granada CF,Udinese Calcio
Marco D'Alessandro,Atalanta BC,Udinese Calcio
Cuco Martina,Everton,Stoke City
Júnior Moraes,Dynamo Kyiv,Shakhtar D.
Yaya Touré,Man City,Olympiacos
Diogo Gonçalves,Benfica,Nottm Forest
Roberto Rosales,Málaga CF,Espanyol
Ewerton,FC Porto,Urawa Reds
Alexandre Mendy,G. Bordeaux,Guingamp
Cristian Lema,Benfica,Peñarol
Lucas Piazón,Chelsea,Chievo Verona
Youness Mokhtar,PEC Zwolle,Ankaragücü
Ross McCormack,Aston Villa,Motherwell FC
Majeed Waris,FC Porto,FC Nantes
Jacob Butterfield,Derby,Bradford
Tomer Hemed,Brighton,QPR
Geoff Cameron,Stoke City,QPR
Facundo Roncaglia,Celta de Vigo,Valencia
Santi Cazorla,Arsenal,Villarreal
Vidar Örn Kjartansson,Rostov,Hammarby
Beni Baningime,Everton,Wigan
Lee Tomlin,Cardiff,Peterborough
Jérémy Pied,Southampton,LOSC Lille
Zach Clough,Nottm Forest,Rochdale
Diego Rolán,Dep. La Coruña,Alavés
Alberto Botía,Olympiacos,Al-Hilal
Tim Krul,Brighton,Norwich
Moses Odubajo,Hull City,Brentford
Paul Baysse,G. Bordeaux,SM Caen
Claudio Beauvue,Celta de Vigo,SM Caen
Mikel Vesga,Athletic,CD Leganés
Sebá,Olympiacos,CQ Dangdai Lif.
Brayan Garnica,Atlas,Santos Laguna
Cheikh N'Doye,Birmingham,Angers SCO
Sheyi Ojo,Liverpool,Stade Reims
Mateo Cassierra,Ajax,Racing Club
Fernando Karanga,HN Jianye,Nacional-SP
Oswaldo Alanís,Getafe,Real Oviedo
Ager Aketxe,Toronto,Cádiz CF
Tommy Elphick,Aston Villa,Hull City
Maxime Lestienne,Málaga CF,Standard Liège
Amr Warda,PAOK Salonika,Atromitos
Sanjin Prcic,Stade Rennais,Levante
Oswaldo Alanís,Chivas,Getafe
Nemanja Pejcinovic,Loko Moscow,CC Yatai
Pablo Insua,FC Schalke 04,SD Huesca
Amato Ciciretti,Benevento,Napoli
Fredy Montero,Sporting CP,Vancouver
Stéphane Mbia,Toulouse,WH Zall
Aleksandar Pesic,Al-Ittihad,FC Seoul
Siem de Jong,Ajax,Sydney FC
Leandro Damião,Santos,Kawasaki Front.
Simone Scuffet,Udinese Calcio,Kasimpasa
Papiss Cissé,SD Luneng,Alanyaspor
Gastón Guruceaga,Peñarol,Tigre
Matías Fernández,Necaxa,Junior FC
Diego Rigonato,Stade Reims,Al-Dhafra FC
Makhete Diop,Shabab Al-Ahli,BJ Renhe
José Manuel Jurado,Espanyol,Al-Ahli
Kaimu Zheng,GZ Hengfeng,TJ Teda
Yunlong Fan,GZ Hengfeng,GZ R&F
Borna Barisic,NK Osijek,Rangers
Tiago Ilori,Reading,Sporting CP
Saúl Salcedo,Olimpia,Huracán
Luis Pedro Cavanda,Galatasaray,Standard Liège
Chanathip Songkrasin,Muangthong Utd.,H. C. Sapporo
Santiago Rosales,Racing Club,Gimnasia
Stipe Perica,Udinese Calcio,Frosinone
Vitinho,Cruzeiro,Cercle Brugge
Boyuan Feng,Liaoning FC,JS Suning
Mauro Zárate,Watford,Boca Juniors
Tobias Figueiredo,Sporting CP,Nottm Forest
Joel Asoro,Sunderland,Swansea
Thiago Carleto,Athletico-PR,Al-Ittihad
Alexandru Cicâldău,FC Viitorul,CS U Craiova
Omar González,Pachuca,Atlas
Nikola Katic,Slaven Belupo,Rangers
Andy Polo,Monarcas Morelia,Portland
Fabián Castillo,Trabzonspor,Club Tijuana
Keanan Bennetts,Tottenham U23,Bor. M'gladbach
James Lawrence,AS Trencin,RSC Anderlecht
Rúben Vinagre,Monaco,Wolves
Júnior Brumado,EC Bahia,FC Midtjylland
Filip Stuparevic,Vozdovac,Watford
Ken Sema,Östersund,Watford
Marko Jankovic,Partizan,SPAL
Apodi,Ohod Club,CSA
Vakoun Bayo,Dunajska Streda,Celtic
Thomas Kaminski,KV Kortrijk,KAA Gent
Uroš Račić,Red Star,Valencia
Chuba Akpom,Arsenal,PAOK Salonika
Anders Dreyer,Esbjerg fB,Brighton
Mehdi Bourabia,Konyaspor,Sassuolo
Franco Israel,Nacional U19,Juventus U19
Arthur Caíke,Chapecoense,Pyramids FC
Alexander Scholz,Club Brugge,FC Midtjylland
Aaron Leya Iseka,RSC Anderlecht,Toulouse
Emilio Izaguirre,Al-Fayha,Celtic
Omar Govea,FC Porto B,Royal Antwerp
Simone Missiroli,Sassuolo,SPAL
Mamadou Sylla,KAA Gent,Zulte Waregem
Andrés Cubas,Boca Juniors,CA Talleres
Josué Sá,RSC Anderlecht,Kasimpasa
Abdallah Said,Al-Ahli,Pyramids FC
Ján Greguš,FC Copenhagen,Minnesota
Marinho,CC Yatai,Grêmio
Carlos Benavidez,Defensor SC,Independiente
Ali Gabr,Zamalek,Pyramids FC
Yairo Moreno,Indep. Medellín,León
Aldo Kalulu,Olympique Lyon,FC Basel
Radu Drăgușin,AS Metropolitan,Juventus U17
Claudemir,Al-Ahli,SC Braga
Tabaré Viúdez,Nacional,Olimpia
Sebastián Ferreira,Olimpia,Monarcas Morelia
Nehuén Pérez,Argentinos U20,Atlético Madrid
Jonas Omlin,FC Luzern,FC Basel
Issah Abass,NK Olimpija,1.FSV Mainz 05
Pascal Köpke,Erzgebirge Aue,Hertha BSC
Mark Flekken,MSV Duisburg,SC Freiburg
Eros Grezda,NK Osijek,Rangers
Naldo,FC Schalke 04,Monaco
Deyovaisio Zeefuik,Ajax,FC Groningen
Luis Sinisterra,Once Caldas,Feyenoord
Filip Jagiello,Zaglebie Lubin,Genoa
Romain Del Castillo,Olympique Lyon,Stade Rennais
Stiven Plaza,Independiente,Real Valladolid
Álvaro Aguado,Córdoba CF,Real Valladolid
Maryan Shved,Karpaty,Celtic
Hilary Gong,AS Trencin,Vitesse
Franck Honorat,Clermont Foot,Saint-Étienne
Mathias Jörgensen,Odense BK,New York
Ludovic Ajorque,Clermont Foot,R. Strasbourg
Ibrahima Sissoko,Stade Brestois,R. Strasbourg
Ewerton,Portimonense,FC Porto
Yordan Osorio,Tondela,FC Porto
Tino Kadewere,Djurgården,Le Havre AC
Fábio,Middlesbrough,FC Nantes
Marc Navarro,Espanyol,Watford
Casimir Ninga,Montpellier,SM Caen
Neto Borges,Hammarby,KRC Genk
Jakub Piotrowski,Pogon Szczecin,KRC Genk
Vladimir Screciu,CS U Craiova,KRC Genk
Matheus Dória,Marseille,Santos Laguna
Héctor Fértoli,Newell's,San Lorenzo
Adam Bareiro,Nacional,Monterrey
Jorge Carrascal,Sevilla Atl.,Karpaty
Dia Saba,Maccabi Netanya,H. Beer Sheva
Robinho,Sivasspor,Basaksehir
Pierre Ekwah,FC Nantes U17,Chelsea U18
Jonas,Flamengo,Al-Ittihad
Tòfol Montiel,Mallorca U19,Fiorentina U19
Anton Nedyalkov,Dallas,Ludogorets
Okechukwu Azubuike,Y. Malatyaspor,Pyramids FC
Noam Emeran,Amiens SC U19,Man Utd Youth
Emiliano Viviano,Sampdoria,Sporting CP
Alfredo Donnarumma,FC Empoli,Brescia
Guillermo Varela,Peñarol,FC Copenhagen
Marcelo Barovero,Necaxa,Monterrey
Kenan Kodro,1.FSV Mainz 05,FC Copenhagen
Vincent Laurini,FC Empoli,Fiorentina
David Timor,Girona,UD Las Palmas
Ximo Navarro,UD Las Palmas,Alavés
Recio,Málaga CF,CD Leganés
Mats Rits,KV Mechelen,Club Brugge
Somália,Toulouse,Al-Shabab
Armin Hodzic,Dinamo Zagreb,Vidi FC
Burak Yılmaz,Trabzonspor,Besiktas
Borek Dockal,HN Jianye,Sparta Prague
Bobby Wood,Hamburger SV,Hannover 96
Roman Bezus,Sint-Truiden,KAA Gent
